Nome,Site,Concelho,Distrito
"Segue-se abaixo uma lista de associações de protecção de animais de companhia que actuam em Portugal, por distrito/concelho. Se a sua área de residência não estiver contemplada, sugerimos que tente averiguar junto da sua câmara municipal ou até do seu veterinário habitual acerca da existência de associações na sua zona.",N/A,,
Associação dos Amigos dos Animais de Águeda,http://www.associacaopatinhas.com/,Águeda,Aveiro
Associação dos Amigos do Animais de Albergaria-a-Velha,http://amigosanimaisalbergaria-a-velha.blogspot.com,Albergaria-a-Velha,Aveiro
Associação Quatro Patas e Focinhos,http://www.abrigoquatropatasefocinhos.blogspot.pt/,Anadia,Aveiro
ASADIA – Associação de Solidariedade Animal de Anadia,N/A,Anadia,Aveiro
S.O.S. ANIAROUCA– Associação de Animais de Arouca,http://aniarouca.blogspot.com/,Arouca,Aveiro
AFECTU– Associação dos Felinos e Caninos Todos Unidos,http://afectu.bedigital.tv/,Aveiro,Aveiro
Associação Gato de Rua,http://gato-de-rua.blogspot.com/,Aveiro,Aveiro
PRAVI – Projecto de Apoio a Vítimas Indefesas: Núcleo de Aveiro,http://pravi-aveiro.wix.com/animais-praviaveiro,Aveiro,Aveiro
APAAA – Associação de Protecção dos Animais Abandonados de Aveiro (Perdidos e Achados),N/A,Aveiro,Aveiro
Bobby e Companhia – Associação dos Amigos dos Animais de Espinho,http://bobbyecompanhia.blogspot.pt/,Espinho,Aveiro
Patinhas Sem Lar – Associação de Protecção dos Animais,http://www.facebook.com/patinhassemlar/info,Espinho,Aveiro
"Vicente, o Corvo – Associação de Protecção dos Animais",http://www.facebook.com/vicente.protecaodeanimais,Espinho,Aveiro
Patinhas e Patudos – Associação dos Amigos dos Animais de Oliveira de Azeméis,https://www.facebook.com/companhiadaspatinhas/info/,Oliveira de Azeméis,Aveiro
APADO– Associação Protectora de Animais Domésticos de Ovar,http://www.facebook.com/apado.ovar,Ovar,Aveiro
ASA– Associação Solidariedade Animal,http://asa-associacao.webnode.pt/,Ovar,Aveiro
MARAnimais – Movimento de Apoio e Reinserção de Animais,http://www.maranimais.org/,Ovar,Aveiro
AANIFEIRA– Associação dos Amigos dos Animais de Santa Maria da Feira,http://www.aanifeira.pt,Santa Maria da Feira,Aveiro
VerdeCerto – Associação de Protecção Animal,http://www.facebook.com/verdecerto.ong/info,Santa Maria da Feira,Aveiro
Ani São João – Associação dos Amigos dos Animais de São João da Madeira,http://aasjm.blogspot.com,São João da Madeira,Aveiro
Gaticão – Associação dos Amigos dos Animais Abandonados,http://www.gaticao.org,Vagos,Aveiro
Patinhas – Associação dos Amigos dos Animais de Vale de Cambra,https://www.facebook.com/Associação-Patinhas-157641517628020/about/,Vale de Cambra,Aveiro
Associação Cantinho dos Animais de Beja,http://www.cantinhobeja.blogspot.com/,Beja,Beja
"Associação Canil e Gatil ""Os Rafeiritos do Alentejo""",http://www.facebook.com/rafeiritos.alentejo/info,Castro Verde,Beja
AssociaçãoS.O.S.dos Animais,http://sosdosanimaismoura.no.sapo.pt/index.html,Moura,Beja
Cães Sem Dono – Associação de Protecção dos Cães Abandonados,http://helpdogsinportugal.com/,Ourique,Beja
Associação Patudos d'Amares,https://www.facebook.com/patudosdamares,Amares,Braga
Animalegre – Associação de Protecção Animal de Amares,N/A,Amares,Braga
Associação Projecto Animais de Barcelos,http://www.animaisbarcelos.org/,Barcelos,Braga
Streetdogs – Associação de Protecção Animal,https://www.streetdogspt.com/,Barcelos,Braga
"Abandoned Pets, Associação Pela Dignidade Animal – SOS Adopta",http://www.facebook.com/abandonedpets.adoptasos/info,Braga,Braga
ABRA– Associação Bracarense Amigos dos Animais,http://www.abra.org.pt,Braga,Braga
Refúgio Certo – Associação de Protecção de Animais,http://www.facebook.com/profile.php?id=100001049704241,Celorico de Basto,Braga
"Amigos dos Patudos de Esposende – Associação Pela Dignificação dos Animais e das Pessoas, A.P.E.",http://www.facebook.com/pages/Amigos-dos-Patudos-de-Esposende-APE/1589512341314871?sk=info,Esposende,Braga
ANIESP – Associação Animal de Esposende,http://www.facebook.com/aniesposende/info/,Esposende,Braga
Associação de Defesa dos Direitos dos Animais e Floresta,http://addaf.blogspot.pt/,Fafe,Braga
Sociedade Protectora dos Animais,http://spaguimaraes.blogspot.com/,Guimarães,Braga
Clube de Adopção e Protecção de Animais,http://www.facebook.com/CAPAPVL/info/,Póvoa de Lanhoso,Braga
Associação das Patinhas Abandonadas de Vieira,http://www.facebook.com/apav.patinhasabandonadas/info,Vieira do Minho,Braga
Pets & Me – Associação Protectora dos Animais,https://www.facebook.com/AssociacaoPetsandMe/about/,Vila Nova de Famalicão,Braga
PTN – Parque da Terra Nova,http://www.parquedaterranova.com/,Vila Nova de Famalicão,Braga
Associação Para Defesa dos Animais e Ambiente de Vila Verde,http://apdaavv.blogspot.pt/,Vila Verde,Braga
