NOME ONGD;TELEFONE / TELEMÓVEL;EMAIL;SITE;MORADA
ACEP - Associação para a Cooperação Entre os Povos;217950175;acep@acep.pt;www.acep.pt;Av. Santos Dumont 57, 1050-202 Lisboa
ADDHU - Associação de Defesa dos Direitos Humanos;962904738;info@addhu.org;www.addhu.org;Avenida João Crisóstomo 18 - 5 , 1000-179 Lisboa
ADIRN - Associação para o Desenvolvimento Integrado do Ribatejo Norte;249310040 / 917891355;adirn@adirn.pt;www.adirn.pt/;Convento de S. Francisco (Ala Nascente Av. General Bernardo Faria) 0 - 1º Piso, 2300-535 Tomar
ADPM - Associação de Defesa do Património de Mértola;286610000;geral@adpm.pt;www.adpm.pt;Largo Vasco da Gama 0, 7750-328 Mértola
ADRA - Associação Adventista para o Desenvolvimento, Recursos e Assistência;213580535 / 962168456;info@adra.org.pt;www.adra.org.pt;Apartado 90 EC Arroios, 1001-000 Lisboa
AIDGLOBAL - Acção e Integração para o Desenvolvimento Global;+351 218946028 / +351 960486838;geral@aidglobal.org;www.aidglobal.org;Rua de Moscavide 4.71 0, 1998-011 Lisboa
AJAP - Associação dos Jovens Agricultores de Portugal;213244970;ajap@ajap.pt;www.ajap.pt;Rua D. Pedro V 108, 1269-128 Lisboa
AMU - Ações para um Mundo Unido;263098920 / 912164127;geral@amu.org.pt;www.amu.org.pt;Cidadela Arco Íris  Polo de Economia de Comunhão - Rua Sra da Graça 60, 2580-042 Abrigada
APDES - Agência Piaget para o Desenvolvimento;(+351) 227531106/7;info@apdes.pt;www.apdes.pt;Alameda Jean Piaget  100, 4411-801 Arcozelo - V. N. Gaia
APF - Associação para o Planeamento da Família;213853993 / 912954357;apfsede@apf.pt;www.apf.pt;Avenida João Paulo II 565 - R/C, 1900-154 Lisboa
APOIAR - Associação Portuguesa de Apoio a África;919993334;info@apoiar.org;www.apoiar.org;Largo General Guerra 23, 2080-039 Almeirim
Associação HELPO;211537687;info@helpo.pt;www.helpo.pt;Rua Catarina Eufémia, Fontainhas 167, 2750-318 Cascais
Associação Par - Respostas Sociais;;info@par.org.pt;www.par.org.pt;Avenida Professor Gama Pinto 2, 1649-003 Lisboa
ATLAS - Associação para o Desenvolvimento;910425179;secretariado.leiria@atlaspeoplelikeus.org;https://www.atlaspeoplelikeus.org/;Alameda Doutor Armando Gonçalves, Lote 20 Loja 7, 3000-059 Coimbra
Cáritas Portuguesa;218454220;caritas@caritas.pt;www.caritas.pt;Praça Pasteur 11 - 2º esq, 1000-238 Lisboa
