DENOMINAÇÃO,MORADA,CONCELHO,DISTRITO,FORMA JURÍDICA,ANO REGISTO,NIPC
"AMAR - Associação Macinhatense de Assistência, Recreio e Cultura",Freguesia de Macinhata do Vouga,Águeda,Aveiro,Associação,1994,503121371
ARCA DA BOTAREU - Associação Recreativa e Cultural de Águeda,"R. Engº.José Bastos Xavier, Bloco A-
r/c-Poente",Águeda,Aveiro,Associação,1991,501890173
ARCOR - Associação Recreativa e Cultural de Óis da Ribeira,Lugar e Freguesia de Óis da Ribeira,Águeda,Aveiro,Associação,1993,502312246
Associação Social e Cultural de Serém,Serém - Freg. Macinhata do Vouga,Águeda,Aveiro,Associação,1993,503434531
"Associação Barroense de Recreio, Cultura e Assistência - ABARCA",Lugar e Freguesia de Barrô,Águeda,Aveiro,Associação,1982,501311726
"Associação Fermentelense de Assistência a Crianças e Pessoas da Terceira
Idade",Fermentelos,Águeda,Aveiro,Associação,1982,501089780
Banco de Leite - Associação de Solidariedade Social,Apartado 78,Águeda,Aveiro,Associação,1996,502254440
Bela Vista - Centro de Educação Integrada,Águeda,Águeda,Aveiro,Associação,1986,500878706
Centro de Bem Estar Social de Macinhata do Vouga,Macinhata do Vouga,Águeda,Aveiro,"Centro Social
Paroquial",1983,504164996
Centro de Apoio Social e Animação de Segadães,Freguesia de Segadães,Águeda,Aveiro,Associação,1992,502800542
Centro Paroquial e Social de Valongo do Vouga,Valongo do Vouga,Águeda,Aveiro,"Centro Social
Paroquial",1984,501430890
Centro Social de Belazaima,Belazaima do Chão,Águeda,Aveiro,Associação,1987,501120998
Centro Social de Formação e Assistência,Borralha,Águeda,Aveiro,"Instituto de
Organização
Religiosa",1984,501122141
Centro Social Infantil de Aguada de Baixo,Aguada de Baixo,Águeda,Aveiro,Associação,1981,501729968
Centro Social Paroquial da Borralha,Borralha,Águeda,Aveiro,"Centro Social
Paroquial",1993,502811587
Centro Social Paroquial da Freguesia de Recardães,Freguesia de Recardães,Águeda,Aveiro,"Centro Social
Paroquial",1996,503495468
J.L.V.- Associação Social e Cultural dos Jovens de Lamas do Vouga,Pedaçães - Lamas do Vouga,Águeda,Aveiro,Associação,1994,972684336
Jardim Social de Travassô - Associação de Solidariedade Social,Lugar e Freguesia de Travassô,Águeda,Aveiro,Associação,1999,505600013
Liga dos Amigos de Aguada de Cima - Laac,Aguada de Cima,Águeda,Aveiro,Associação,1989,501660038
O Catraio - Centro Social da Catraia de Assequins,Assequins,Águeda,Aveiro,Associação,1995,503292370
