Nome,E-mail,Morada,Telefone,URL
: Com Alma - Associação Não Governamental pelos Direitos Humanos,direcao@comalma-direitoshumanos.pt,"Rua da Cruz de Pau, 153, sala 8
4450-050",937667493,https://www.cig.gov.pt/ong/com-alma-associacao-nao-governamental-pelos-direitos-humanos/
: Mulher Século XXI - Associação de Desenvolvimento e Apoio às Mulheres,coordenacao@mulherseculoxxi.com,"Largo Rainha Santa Isabel, nº 1 R/C Drt
2410-165",244821728,https://www.cig.gov.pt/ong/mulher-seculo-xxi-associacao-de-desenvolvimento-e-apoio-as-mulheres/
: Associação Atitude Colectiva,lgbtiviseu@gmail.com,"Rua Mestre António Nelas, Lote 189, 2º DTO
3510-596",910841887,https://www.cig.gov.pt/ong/associacao-atitude-colectiva/
": Rede ex aequo - associação de jovens lésbicas, gays, bissexuais, transgéneros e simpatizantes",geral@rea.pt,"Rua dos Fanqueiros, N38, 3 esq
1100-231",968781841,https://www.cig.gov.pt/ong/rede-ex-aequo-associacao-de-jovens-lesbicas-gays-bissexuais-transgeneros-e-simpatizantes/
: CooLabora - Intervenção Social,coolabora@gmail.com,"Rua Combatentes Grande Guerra, 62
6200-020",275335427,https://www.cig.gov.pt/ong/coolabora-intervencao-social/
: UMAR - União de Mulheres Alternativa e Resposta,umar.sede@sapo.pt,"Rua Cozinha Económica Bloco D 30M-N
1300-149",218873005,https://www.cig.gov.pt/ong/umar-uniao-de-mulheres-alternativa-e-resposta/
: Associação P de Potência,pdepotencia@gmail.com,"Centro Maria Alzira Lemos – Casa das Associações Parque Infantil do Alvito, Estrada do Alvito
1300-054",969959589,https://www.cig.gov.pt/ong/associacao-p-de-potencia/
: Oikos - Cooperação e Desenvolvimento,jjfernandes@oikos.pt,"Rua Visconde Moreira de Rey, 37 - Linda-a-Pastora
2790-447",218823630,https://www.cig.gov.pt/ong/oikos-cooperacao-e-desenvolvimento/
: Animar - Associação Portuguesa para o Desenvolvimento Local,celia.lavado@animar-dl.pt,"Av. Santos Dumont, 57 - 1º Esq.
1050-202",963496541,https://www.cig.gov.pt/ong/animar-associacao-portuguesa-para-o-desenvolvimento-local/
: Associação ILGA Portugal,ilga@ilga-portugal.pt,"Rua dos Fanqueiros Nº38 3ºEsq
1100-231 Lisboa",969367005,https://www.cig.gov.pt/ong/associacao-ilga-portugal/
: Contra o Femicídio - Associação de Familiares e Amigas/os de Vítimas de Femicídio,a.contraofemicidio@gmail.com,"Rua João Villaret, nº 9
1100-182 Lisboa",912502746,https://www.cig.gov.pt/ong/contra-o-femicidio-associacao-de-familiares-e-amigas-os-de-vitimas-de-femicidio/
: Akto - Associação para a Promoção dos Direitos Humanos e Democracia,geral@akto.org,"Rua Carlos Alberto Pinto de Abreu, 53, 5N
3040-245",910061663,https://www.cig.gov.pt/ong/akto-associacao-para-a-promocao-dos-direitos-humanos-e-democracia/
: Associação para o Desenvolvimento das Mulheres Ciganas Portuguesas,amucip2015@gmail.com,"Largo Machado dos Santos nº 8 e 9
2845-423",926577057,https://www.cig.gov.pt/ong/associacao-para-o-desenvolvimento-das-mulheres-ciganas-portuguesas/
: Associação Dress For Success Lisboa,geral@dressforsuccesslisboa.org,"Travessa da Luz nº 2, sala 1
1600-499",926526116,https://www.cig.gov.pt/ong/associacao-dress-for-success-lisboa/
: Associação Imigrantes Romenos e Moldavos Doina Algarve,doina.algarve@gmail.com,"Av.5 de Outubro nº76
8135-101",918095036,https://www.cig.gov.pt/ong/associacao-imigrantes-romenos-e-moldavos-doina-algarve/
: Seres (con) viver com o VIH,seres.isabel@gmail.com,"AV EUA 123 3F
1700-172",969111090,https://www.cig.gov.pt/ong/seres-con-viver-com-o-vih/
: HeForShe Lisboa,geral@heforshelisboa.org,"Rua Heróis de Quionga 27, 2o Esquerdo 1170-178 Lisboa
1170-178",939837041,https://www.cig.gov.pt/ong/heforshe-lisboa/
: Plataforma Portuguesa para os Direitos das Mulheres,plataforma@plataformamulheres.org.pt,"Centro Maria Alzira Lemos – Casa das Associações Parque Infantil do Alvito, Estrada do Alvito, Monsanto
1300-054",213626049,https://www.cig.gov.pt/ong/plataforma-portuguesa-para-os-direitos-das-mulheres/
: Espaço t - Associação Para Apoio à Integração Social e Comunitária,jorge.oliveira@espacot.pt,"Rua de Vilar, 54
4050-625 Porto",919805009,https://www.cig.gov.pt/ong/35786/
: Associação para a cooperação entre os povos,livia@acep.pt,"Rua de São Bento 222
1200-821",933758089,https://www.cig.gov.pt/ong/associacao-para-a-cooperacao-entre-os-povos/
: Questão de Igualdade - Associação para a Inovação Social,geral@questaodeigualdade.pt,"Rua da Penha de França, 102 2 Esquerdo
1170-307",917147300,https://www.cig.gov.pt/ong/questao-de-igualdade-associacao-para-a-inovacao-social/
: Associação Portuguesa para a Igualdade Parental e Direito dos Filhos,igualdadeparental@gmail.com,"Rua Maria Carlota, nº12, Loja 1-A
1950-174",919460214,https://www.cig.gov.pt/ong/associacao-portuguesa-para-a-igualdade-parental-e-direito-dos-filhos/
: Moura Salúquia - Associação de Mulheres do Concelho de Moura,amcmoura@sapo.pt,"Rua de Oliveira, n.º 7
7860-231",285252409,https://www.cig.gov.pt/ong/moura-saluquia-associacao-de-mulheres-do-concelho-de-moura/
: Graal,graallisboa@gmail.com,"Rua Luciano Cordeiro, nº 24-6º A
1150-215",927949387,https://www.cig.gov.pt/ong/36854/
: Associação Mén Non - Associação de Mulheres de São Tomé e Príncipe em Portugal,ilidivera@gmail.com,"Praça D. Afonso V nº 7, 6º Dto Alverca do Ribatejo
2615-357",925742587,https://www.cig.gov.pt/ong/associacao-men-non-associacao-de-mulheres-de-sao-tome-e-principe-em-portugal/
: CRIAR-T - Associação de Solidariedade,mail@criar-t.org,"Rua Jacinto Prado Coelho nº3 Arrentela
2840-439",212222600,https://www.cig.gov.pt/ong/criar-t-associacao-de-solidariedade/
: Núcleo de Apoio Emocional e Psicológico,naep.geral@gmail.com,"Praceta Salvador Caeiro Braz
4815-660",935248399,https://www.cig.gov.pt/ong/nucleo-de-apoio-emocional-e-psicologico/
: ADDIM - Associação Democrática da Defesa dos Interesses e Igualdade das Mulheres,direcao@addim.pt,"Rua Professor Bento de Jesus Caraça, 248, 1º Andar, Sala 3
4200-128 Porto",225104511,https://www.cig.gov.pt/ong/addim-associacao-democratica-da-defesa-dos-interesses-e-igualdade-das-mulheres/
: Associação Mulheres sem Fronteiras,info.mulheres.sem.fronteiras@gmail.com,"Centro Maria Alzira Lemos – Casa das Associações Parque Infantil do Alvito, Estrada do Alvito, Monsanto
1300-054",960398578,https://www.cig.gov.pt/ong/associacao-mulheres-sem-fronteiras/
: Associação Inspiring Girls Portugal,joana.costa@inspiring-girls.com,"Praceta de Cochim, 6
2805-039",965379545,https://www.cig.gov.pt/ong/associacao-inspiring-girls-portugal/
: Soroptimist International União de Portugal,soroptimistportugal@gmail.com,"Rua Bacelar e Silva, 5 -1º Direito
1000-068",218400870,https://www.cig.gov.pt/ong/soroptimist-international-uniao-de-portugal/
: Observatório de Violência Obstétrica de Portugal,violenciaobstetricapt@gmail.com,"Rua Inácio de Sousa, 23 - 1º Dto
1500-346",962444445,https://www.cig.gov.pt/ong/observatorio-de-violencia-obstetrica-de-portugal/
: Serviço Jesuíta aos Refugiados - Portugal,jrsportugal@jrs.net,"Rua Rogério de Moura,lote 59, Alto do Lumiar
1750-342",217552790,https://www.cig.gov.pt/ong/servico-jesuita-aos-refugiados-portugal/
: VILA QUEER – Associação de Apoio Social e Comunitário,geral@vilaqueer.pt,"Calçada de Santo António, n.º 2
1150-215",960459270,https://www.cig.gov.pt/ong/vila-queer-associacao-de-apoio-social-e-comunitario/
