NOME ONGD,TELEFONE / TELEMÓVEL,EMAIL,SITE,MORADA,CONCELHO,DISTRITO,FORMA JURÍDICA,ANO REGISTO,NIPC,Código Postal,LOGOTIPO,SOURCE
TRANSgredir,,deborahcattani@gmail.com,http://transgredir.org,"Rua Barbosa du Bocage, 101, R/C",,,,,284968331,,https://ong.pt/dir/images/sobipro/entries/1042/img_cropped-cropped-Logo.png,ONG.PT
TRANSgredir,,deborahcattani@gmail.com,http://transgredir.org,"Rua Barbosa du Bocage, 101, R/C",,,,,284968331,,https://ong.pt/dir/images/sobipro/entries/1042/img_cropped-cropped-Logo.png,ONG.PT
Associação Herois do Mar,913739854,heroisdomarapoiosocial@gmail.com,http://www.heróis-do-mar.pt,"Rua do Pinhal, nº 231, 3ºdireito, edificio A, 4410-269, VNGaia",,,,,510046568,,https://ong.pt/dir/images/sobipro/entries/997/img_herois do mar.jpg,ONG.PT
Ligar à vida - Associação de Gestão Humanitária para o Desenvolvimento,219 328 094,ligaravida.bombarral@gmail.com,http://www.ligaravida.hostinazo.com,"Rua Marquesa de Alorna, 4, Ramada",,,,,508450918,,https://ong.pt/dir/images/sobipro/entries/1025/img_Logotipo Ligar à Vida.gif,ONG.PT
CASA - CENTRO DE APOIO AO SEM ABRIGO,913067656,porto@casa-apoioaosemabrigo.org,http://www.casa-apoioaosemabrigo.org,Rua alvaro casteloes,,,,,506116786,,https://ong.pt/dir/images/sobipro/entries/998/img_CASA.jpg,ONG.PT
Associação Portuguesa de Apoio à Vitima,213587900,apav.sede@apav.pt,http://www.apav.pt,"Rua José Estêvão, 135 A, Pisos ½ 1150-201 Lisboa",,,,,502547952,,https://ong.pt/dir/images/sobipro/entries/992/img_APAV.jpg,ONG.PT
"Sindicato dos Estivadores, Trabalhadores do Tráfego e Conferentes Marítimos do Centro e Sul de Portugal",213423859,setc@sapo.pt,http://www.sindicatodosestivadores.com,"Rua do Alecrim, nº 25 – 1º 1200-014 Lisboa",,,,,504313649,,https://ong.pt/dir/images/sobipro/entries/988/img_sindicato dos estivadores.png,ONG.PT
Cruz Vermelha Portuguesa,213913900,sede@cruzvermelha.org.pt,http://www.cruzvermelha.pt,"Jardim 9 de Abril, 1 a 5 1249-083 Lisboa",,,,,500745749,,https://ong.pt/dir/images/sobipro/entries/952/img_Cruz Vermelha Portuguesa.jpg,ONG.PT
EAPN - Rede Europeia Anti-Pobreza,225420801,geral@eapn.pt,http://www.eapn.pt,"Rua de Costa Cabral, nº 2368",,,,,502866896,,https://ong.pt/dir/images/sobipro/entries/942/img_Rede Europeia Anti-pobreza.jpg,ONG.PT
"Tree Institute - Associação para o Desenvolvimento Económico, Social e Humano",210438600,geral@tree-institute.org,http://www.tree-institute.org,Rua dos Inventores 2824 - 182 Caparica,,,,,510099920,,https://ong.pt/dir/images/sobipro/entries/928/img_Tree Institute.jpg,ONG.PT
