NOME,EMAIL,TELEFONE,MORADA,SITE

"Amnistia Internacional Portugal", "aiportugal@amnistia.pt", +351 213 861 652, "Rua dos Remolares, 7, 2º 1200-370", https://www.amnistia.pt/

"ORBIS - Cooperação e Desenvolvimento", "info@orbis.org", +351 912 923 815, "Av. Dr. Lourenço Peixinho 146, 1º andar, loja 303, 3800-159, Aveiro.", https://www.orbis.org.pt/

"Akto – Associação para a Promoção dos Direitos Humanos e Democracia", "geral@akto.org", +351 910 061 663, "Rua Aires de Campos, nº 6, 3000-014 Coimbra", https://www.akto.org/pt/


"ILGA Portugal", "ilga@ilga-portugal.pt", 218 873 918, "Rua dos Fanqueiros Nº38 3ºEsq 1100-231 Lisboa", https://ilga-portugal.pt/

"Conselho Português para os Refugiados", "geral@cpr.pt", 351 21 831 43 72,	"Quinta do Pombeiro, Casa Senhorial Norte Azinhaga do Pombeiro, s/n 1900-793 Lisboa", https://cpr.pt/

"P&D Factor – Associação para a Cooperação sobre População e Desenvolvimento", "info@popdesenvolvimento.org", , "RUA MARQUÊS DA FRONTEIRA, 4C 5ºESQ", https://popdesenvolvimento.org/

"Associação Portuguesa de Mulheres Juristas", "apmjsede@apmj.pt", 211 994 816, "Rua Manuel Marques, nº 21-P Lisboa", https://apmj.pt/

"Chão de Oliva – Centro de Difusão Cultural", "geral@chaodeoliva.com", +351 21 923 37 19, "Rua Veiga da Cunha, 20, 2710-627 Sintra", https://chaodeoliva.com/

"ACTUAR – Associação para a Cooperação e o Desenvolvimento", "geral@actuar-acd.org", +351 961 585 638, "INOPOL – Escola Agrária de Coimbra Quinta Agrícola, Bencanta. 3045-601 Coimbra", https://actuar-acd.org/

"QUERCUS – Associação Nacional de Conservação da Natureza", "quercus@quercus.pt", +351 217 788 474, "Centro Associativo do Calhau Bairro do Calhau Parque Florestal de Monsanto 1500-045 LISBOA", https://quercus.pt/

"4Change, Cooperativa Cultural e de Solidariedade Social Crl", "info@4change.org", , "R. de Oeiras do Piauí Brasil 11A, 2780-285 Oeiras", https://4change.org/

"Fenacerci  – Federação Nacional de Cooperativas de Solidariedade Social", "fenacerci@fenacerci.pt", +351 21 711 25 80 ,"Rua Augusto Macedo 2 A 1600-794 Lisboa", www.fenacerci.pt

"Associação Cova do Mar", "info@covadomar.pt", , , https://www.covadomar.pt/

"CRESAÇOR - Cooperativa Regional de Economia Solidária CRL", "cresacor@cresacor.pt", +351 296 281 554, "Rua D. Maria José Borges, 137 9500-466 Fajã de Baixo, Ponta Delgada Açores", https://www.cresacor.pt/

"Almada Mundo Associação Internacional de Educação, Formação e Inovação", "almadamundo.amai@gmail.com", 920 179 300, "Praça Capitães de Abril, nº 2 A e B Cova da Piedade, 2805- 111, Almada", https://almadamundo.pt/

"Kairós - Cooperativa de Incubação de Iniciativas de Economia Solidária", "comunicar.incluir@kairos-acores.pt", 296 209 800, "Rua José Manuel Bernardo Cabral, nº 10 9500-450 Ponta Delgada", https://www.kairos-acores.pt/kairos.php

"Coolabora", "coolabora@gmail.com", +351 275 335 427, "Rua Comendador Marcelino, 53, R/C 6200-136 Covilhã", https://coolabora.pt/

"ARRISCA - Associação Regional de Reabilitação e Integração Sociocultural dos Açores", "arrisca.pdl@gmail.com", +351 296 281 658, "Rua de Lisboa, 60 9500-216 Santa Clara - Ponta Delgada São Miguel - Açores", https://arrisca.pt/

"APF Açores", "apfacores@gmail.com", 926 783 778, "Rua d'Água n.º 29, Ponta Delgada", https://www.facebook.com/apfacores

"Rede Inducar", "info@inducar.pt.", +351 916 312 550., "Rua Alexandre Herculano, 158 4420-437.", https://inducar.pt/

"Omnis Factum Associação", "omnisfactum@gmail.com", 93 275 77 11, "Alm. Cândido dos Reis 44, 2870-234 Montijo", https://omnisfactum.com/

"Academia Cidadã", "info@academiacidada.org", , , https://academiacidada.org/

"GAT - Grupo de Ativistas em Tratamentos", "geral@gatportugal.org", +351 210 967 826, "Avenida Paris, 4 - 1º direito, 1000-228 Lisboa", https://www.gatportugal.org/
