nome,objeto_da_organizacao,nif,morada,telefone,email,site,logotipo
TRANSgredir,Auxiliar na transição de pessoas transexuais ou transgênero,284968331,"Rua Barbosa du Bocage, 101, R/C",,deborahcattani@gmail.com,http://transgredir.org,https://ong.pt/dir/images/sobipro/entries/1042/img_cropped-cropped-Logo.png
TRANSgredir,Auxiliar na transição de pessoas transexuais ou transgênero,284968331,"Rua Barbosa du Bocage, 101, R/C",,deborahcattani@gmail.com,http://transgredir.org,https://ong.pt/dir/images/sobipro/entries/1042/img_cropped-cropped-Logo.png
Associação Herois do Mar,Pessoas sem abrigo ou na iminência de pobreza.,510046568,"Rua do Pinhal, nº 231, 3ºdireito, edificio A, 4410-269, VNGaia",913739854,heroisdomarapoiosocial@gmail.com,http://www.heróis-do-mar.pt,https://ong.pt/dir/images/sobipro/entries/997/img_herois do mar.jpg
Ligar à vida - Associação de Gestão Humanitária para o Desenvolvimento,Apoio ao desenvolvimento social/educacional/ambiental nos países lusófonos,508450918,"Rua Marquesa de Alorna, 4, Ramada",219 328 094,ligaravida.bombarral@gmail.com,http://www.ligaravida.hostinazo.com,https://ong.pt/dir/images/sobipro/entries/1025/img_Logotipo Ligar à Vida.gif
CASA - CENTRO DE APOIO AO SEM ABRIGO,Sem Abrigo,506116786,Rua alvaro casteloes,913067656,porto@casa-apoioaosemabrigo.org,http://www.casa-apoioaosemabrigo.org,https://ong.pt/dir/images/sobipro/entries/998/img_CASA.jpg
Associação Portuguesa de Apoio à Vitima,"Apoiar as vítimas de crime, suas famílias e amigos.",502547952,"Rua José Estêvão, 135 A, Pisos ½ 1150-201 Lisboa",213587900,apav.sede@apav.pt,http://www.apav.pt,https://ong.pt/dir/images/sobipro/entries/992/img_APAV.jpg
"Sindicato dos Estivadores, Trabalhadores do Tráfego e Conferentes Marítimos do Centro e Sul de Portugal",Actividades de organizações sindicais.,504313649,"Rua do Alecrim, nº 25 – 1º 1200-014 Lisboa",213423859,setc@sapo.pt,http://www.sindicatodosestivadores.com,https://ong.pt/dir/images/sobipro/entries/988/img_sindicato dos estivadores.png
Cruz Vermelha Portuguesa,Rede humanitária.,500745749,"Jardim 9 de Abril, 1 a 5 1249-083 Lisboa",213913900,sede@cruzvermelha.org.pt,http://www.cruzvermelha.pt,https://ong.pt/dir/images/sobipro/entries/952/img_Cruz Vermelha Portuguesa.jpg
EAPN - Rede Europeia Anti-Pobreza,Contribuir para a construção de uma sociedade mais justa e solidária para que todos tenham uma vida digna.,502866896,"Rua de Costa Cabral, nº 2368",225420801,geral@eapn.pt,http://www.eapn.pt,https://ong.pt/dir/images/sobipro/entries/942/img_Rede Europeia Anti-pobreza.jpg
"Tree Institute - Associação para o Desenvolvimento Económico, Social e Humano","Apoiar a criação de projectos empresariais, tecnológicos e sociais. Criar e implementar programas de desenvolvimento económico, social e cultural.",510099920,Rua dos Inventores 2824 - 182 Caparica,210438600,geral@tree-institute.org,http://www.tree-institute.org,https://ong.pt/dir/images/sobipro/entries/928/img_Tree Institute.jpg
